business_id,categories,cat,name
-0Sgh0QlUKVsWosCWJzGqQ,"Sandwiches, Restaurants, Chicken Wings, Pizza",Sandwiches,Domino's Pizza
-0tgMGl7D9B10YjSN2ujLA,"Irish Pub, Pubs, Nightlife, Irish, Bars, Music Venues, Restaurants, Arts & Entertainment",Irish,Dubliner
-1UMR00eXtwaeh59pEiDjA,"Nightlife, Sandwiches, Bars, Cocktail Bars, Restaurants, Food, Breakfast & Brunch",Sandwiches,Matt's Big Breakfast
-2isRNVb6PDuBagELL5EBw,"Tex-Mex, Mexican, Fast Food, Restaurants",Mexican,Taco Bell
-34vSRcMz_RjN00dWIiQ3Q,"Fast Food, Restaurants, Sandwiches",Sandwiches,Subway
-45kMvS7h38CGaWugPY0rg,"Restaurants, Mexican, Bars, American (New), Nightlife, Sandwiches, Breakfast & Brunch",Mexican,Roland's Cafe Market Bar
-4g68Hwm892_KPUuW5g1_Q,"Food Delivery Services, Fast Food, Food, Delis, Restaurants, Sandwiches",Sandwiches,Jimmy John's
-8QlV3b_9H4BAh6LgMIr1g,"Restaurants, Buffets, Vegan, Indian",Indian,Nandini Indian Cuisine
-9eNGMp8XiygI8t8QFuFWw,"Cafes, Restaurants, Fondue, American (New), American (Traditional)",Cafes,The Melting Pot-Phoenix
-Bdw-5H5C4AYSMGnAvmnzw,"Tea Rooms, Breakfast & Brunch, American (Traditional), Cocktail Bars, Nightlife, Restaurants, Food, American (New), Bars",American,Tuck Shop
-BxWyEIQ6wypT-37MzZizQ,"Music Venues, Nightlife, Vegan, Breakfast & Brunch, Sandwiches, Cafes, Food, Arts & Entertainment, Restaurants, Bars, Vegetarian, Local Flavor, Lounges, Jazz & Blues, Beer, Wine & Spirits, American (New), Desserts",Cafes,Carly's Bistro
-cBQKodqi77Q0vk-9iDvQA,"American (Traditional), Bars, Restaurants, Nightlife",American,Fat Tuesday
-raUM9T-1dKPiB5_vRmFYA,"Hot Dogs, Burgers, Sandwiches, Restaurants, Italian",Sandwiches,Luke's of Chicago's
-Wxje8_M3S-0wIwdub9Kug,"Food, Restaurants, Coffee & Tea, Fast Food, Burgers",Burgers,McDonald's
_1dS8bRrhN8hoCn58vmoHg,"Breakfast & Brunch, Coffee & Tea, Food, Restaurants, Coffee Roasteries",Coffee N Tea,Press Coffee - Biltmore Center
_287i8ZeEf0H1LiqPhyvBg,"Chinese, Restaurants",Chinese,Yi's Chinese Restaurant
_4n7K_UdRSEMw4vJdsU9jQ,"Italian, Pizza, Restaurants",Italian,Ray's Pizza
_6mvQX9x66oz046eS5ii8w,"Mexican, Restaurants",Mexican,Juan's Authentic Mexican Food
_7hhpjQHxjPi0gNzzMmO6g,"Restaurants, Chinese, Buffets",Chinese,New Sun Star Super Buffet
_7u6Cdgoo65xqUNOuRX4Ew,"Juice Bars & Smoothies, Ice Cream & Frozen Yogurt, Food, Gluten-Free, Acai Bowls, Restaurants",Juice Bars,Nekter Juice Bar
_8c3Ky90nE50rN4Mb_Sxtw,"Chinese, Restaurants, Asian Fusion",Chinese,Hsin Cafe
_8I19IRzDXmMSRES9cEGlw,"Restaurants, Fast Food, Pizza",Italian,Little Caesars Pizza
_9W8i0ZLcz8oCsjQIc3_Ww,"Fast Food, Delis, Sandwiches, Restaurants",Sandwiches,Firehouse Subs
_B-LJC1Aj50Cdxd9p9uBaA,"Fast Food, Restaurants, Burgers, Coffee & Tea, Food",Burgers,McDonald's
_B3jnaQVtDXqydea1y92fQ,"American (Traditional), Barbeque, American (New), Restaurants, Steakhouses",American,Texas Roadhouse
_BJdRw73rGb35ofd3ElTUA,"Middle Eastern, Mediterranean, Halal, Restaurants",Mediterranean,YS Restaurant
_bvc2j6E8mk_ZiMoh2iMuQ,"Ice Cream & Frozen Yogurt, Fast Food, Restaurants, Burgers, Food, American (Traditional)",American,Sonic Drive-In
_c3ixq9jYKxhLUB0czi0ug,"Nightlife, Bars, Sports Bars, Dive Bars, Restaurants, Burgers, Sandwiches",Sports Bar,Original Hamburger Works
_cRDDAasE-4584eXN_5Ecw,"Restaurants, Tex-Mex, Mexican, Fast Food",Mexican,Taco Bell
_DiGwfdiH913E4LURwb2qg,"Indian, Food, Specialty Food, Restaurants, Buffets, Grocery, Ethnic Food",Indian,New India Bazaar
_DPJ_PHJnXsuhYhsgBA0Xw,"Burgers, Wine Bars, Restaurants, Steakhouses, Bars, Nightlife, Diners, Seafood",Burgers,Durant's
_e3rChyednoh47n2cjGv2w,"Italian, Restaurants, Salad",Italian,Adela's Italian
_E6j0AVb3lkLBLzvPHInXA,"American (Traditional), Salad, Hot Dogs, Restaurants, Burgers, Sandwiches, Chicken Wings",Sandwiches,Smashburger
_eKvk2GoGKb3CoYolHgRlg,"Sandwiches, Mediterranean, Vegetarian, Restaurants, Greek",Mediterranean,Fresko A Mediterranean Kitchen
_iEl9sCLsvXEFHUWPvgsAg,"Tapas/Small Plates, Tapas Bars, Restaurants, Mexican",Mexican,Chico Malo
_ikylomPLdTgVtE0xWR_1Q,"Restaurants, Breakfast & Brunch, Mexican",Mexican,Rolberto's
_imnJaX4EG_BaoXMCyxFig,"Fast Food, Coffee & Tea, Burgers, Restaurants, Food",Burgers,McDonald's
_IsmLuyEvcKzcBmbMHCCfg,"Fast Food, Restaurants, Mexican",Mexican,Julioberto's
_jGyZz4v9dedx_LIdJHulw,"Fast Food, Chicken Wings, Restaurants, Chicken Shop",Fast Food,KFC
_JZ7hXqOZ_MngjPWFgER0w,"American (Traditional), Pizza, American (New), Burgers, Restaurants",American,Pizza People Pub
_lD9Y_0OfzZjfz5s-FVwqQ,"Mediterranean, Restaurants, Ethnic Food, Food, Turkish, Imported Food, Specialty Food",Mediterranean,Doner Kebab Chef RD
_MEzlid9Zh-iyAWGRDaZQQ,"Chicken Wings, Restaurants",Fast Food,Wingstop
_MFOesFi37QwBKtTspCarw,"Coffee & Tea, Delis, Restaurants, Food",Coffee N Tea,Rick's Cafe Metro
_mg5bYknpZgaWSfjQVmrJQ,"Italian, Pizza, Restaurants",Italian,Spinato's Pizzeria
_MHUEErH3KW_KvVSOjyYhg,"Restaurants, Italian, Pizza, Sandwiches",Sandwiches,Pat's Pizza Plus
_MI20v3QRDrCVXgpzje-Ag,"Salad, Restaurants, Burgers, Sandwiches, Caterers, Breakfast & Brunch, Event Planning & Services",Sandwiches,City Square Deli & Grill
_mqUzNXs_sJ1EJYgYZYszg,"Sandwiches, Breakfast & Brunch, Delis, Restaurants",Sandwiches,The Lunch Lounge
_MzJncLDDFC7-0QLt1KQcg,"Bars, Tex-Mex, Restaurants, Nightlife, American (Traditional)",American,Chili's
_nB8HNT2IDRhlAoY9TPYew,"Sushi Bars, Restaurants",Japanese,Sushi Time
_O2_jwNT_3FDaSRZ50jvrw,"Restaurants, Diners, Breakfast & Brunch, Community Service/Non-Profit, Local Services",Breakfast N Brunch,The Joy Bus Diner
_OAtYMzu_oOf2-HGVhrHVQ,"Pizza, Italian, Restaurants, Chicken Wings",Italian,Brother's Pizza
_pgnoLXisYoa0okcTnOs8Q,"Restaurants, Pizza, Chicken Wings, Sandwiches",Sandwiches,Domino's Pizza
_pUKBIOrTPUp7AOr6FitdQ,"Fast Food, Chicken Wings, Restaurants",Fast Food,Popeyes Chicken & Biscuits
_RYkQNjV_D6xOzRp3RwVOQ,"Pizza, Restaurants, Sandwiches, Chicken Wings",Sandwiches,Domino's Pizza
_sOni_t0FvAQuUDBEGe3Gg,"Irish Pub, Restaurants, Arts & Entertainment, Bars, Pubs, Music Venues, Nightlife, Irish",Irish,Seamus McCaffrey's
_SQvOdb33mhlNJZYEYUKxA,"Desserts, Do-It-Yourself Food, Food, Gelato, Vegan, Restaurants, Ice Cream & Frozen Yogurt",Vegan,Zoyo Frozen Yogurt - Downtown Phoenix
_uMRu3765QYo0Qg1z1LKqw,"Pizza, Restaurants, Fast Food, Gluten-Free, Salad",Italian,Blaze Fast-Fire'd Pizza
_VHOD-pcrAZFKNinI7GCUQ,"Restaurants, Burgers",Burgers,Smashburger
_WtxQbDK7B-ExGdeG-2j6Q,"New Mexican Cuisine, Mexican, American (Traditional), Seafood, Steakhouses, Restaurants",Mexican,Rokerij
_WvEXsx2eZ53lTWHlIx9kg,"Bars, Restaurants, American (New), Gastropubs, Nightlife, Cocktail Bars",American,Blue Hound
_zwYQHInNJRriac_D767fQ,"Restaurants, Mediterranean",Mediterranean,Mighty Gyros
0_Yc6blfiI9A6Q8bKjYLSQ,"Restaurants, Tex-Mex, Mexican, Fast Food",Mexican,Taco Bell
01xXe2m_z048W5gcBFpoJA,"American (New), Fast Food, Restaurants, Burgers",American,Five Guys
02EYqwh47uVxOaOKrnx8SQ,"Venues & Event Spaces, Indian, Event Planning & Services, Party & Event Planning, Pakistani, Restaurants, Buffets",Indian,Indian Delhi Palace
036SeqOKaKx89Liw5RDKqA,"Restaurants, Mexican",Mexican,Francisco's Mexican Food
042IHd5KjHiMuBtGtugO_g,"Nightlife, Food, Gluten-Free, Bars, Breakfast & Brunch, Breweries, Restaurants, Burgers, American (New)",American,OHSO Brewery - Paradise Valley
04sZ_Tn_iMSZOi98m_2-fg,"Pizza, Restaurants, Fast Food",Italian,MOD Pizza
06lCNuSrCnaU6eq0EV4PYg,"Restaurants, Lounges, Burgers, Nightlife, Breakfast & Brunch, American (New), Bars",American,Province Urban Kitchen & Bar
06PiQOUehVOYtDcZRWrA5A,"Restaurants, Pizza",Italian,Little Caesars
079CV1EE5WLdQqVEVYFeHQ,"Restaurants, Chinese",Chinese,The Prime Chinese Restaurant
07cX3Rkj85kDQ1drMMczaw,"American (Traditional), Diners, Restaurants, Breakfast & Brunch",American,Denny's
0859wfd1BQHG46Zpwhc0ZQ,"Pizza, Restaurants, Bars, Nightlife, American (New), Wine Bars",American,Oven + Vine
09LYxY5D4GcKc0Tvs4K_gw,"Food, Coffee Roasteries, Beer Bar, Bars, Restaurants, Nightlife, Breakfast & Brunch, Coffee & Tea",Coffee N Tea,Press Coffee
0aSvr56wz4gRAA5TtV7_Tw,"Bars, Restaurants, American (Traditional), Nightlife",American,Zuma Grill
0Buxoc0cRqjpvkezo3bqog,"Restaurants, Caterers, Japanese, Tea Rooms, Food, Event Planning & Services",Japanese,Nobuo At Teeter House
0CElIQnJdQYF2bmsAiWczg,"Coffee & Tea, Sandwiches, Event Planning & Services, Restaurants, Wedding Chapels, Venues & Event Spaces, Juice Bars & Smoothies, Breakfast & Brunch, Food",Sandwiches,Luci's at the Orchard
0dEUND3rVLjp50rczLIaeA,"Gelato, Nightlife, Cocktail Bars, Bars, Food, Lounges, Restaurants",Bar,Twenty6
0ebavvJVXAzKKQ8C9cOt6g,"Chinese, Restaurants",Chinese,Chopstick Express
0go_co5nVtlbu4HgUyUIOQ,"Restaurants, Breakfast & Brunch, Coffee & Tea, Food, Sandwiches",Sandwiches,"Snooze, An A.M. Eatery"
0h5yI6np7weAVH0jsjHqPw,"Restaurants, Italian, Bars, Pizza, Beer, Wine & Spirits, Food, Nightlife",Italian,Humble Pie
0HgLKI1T9WT3hJXskDtUrQ,"Coffee & Tea, Taiwanese, Bubble Tea, Tea Rooms, Restaurants, Food, Desserts",Coffee N Tea,Tea Swirl
0hp3WtPSxvmJVk3BNTfhHQ,"Food, Coffee & Tea, Fast Food, Burgers, Restaurants",Burgers,McDonald's
0hQIVAQNkvAKIK9MQTNAHA,"Pizza, Restaurants",Italian,Papa John's Pizza
0HRNeFrQt31b-lD9kVdHog,"Chinese, Restaurants",Chinese,Golden China
0i3oD3DqaxaHS22NbmGeCw,"Middle Eastern, Mediterranean, Restaurants, Event Planning & Services, African, Caterers, Halal",Mediterranean,Asafiir Market & Restaurant
0J-QM0fIxBNNiSK_n19y9g,"Restaurants, Chinese",Chinese,Golden Rice Express
0jaD7X39dXE8DxJYIaxSDg,"Restaurants, Juice Bars & Smoothies, Cafes, Breakfast & Brunch, Sandwiches, Food",Cafes,Tropical Smoothie Cafe
0KpoeCt1E-SQsUBwtjLAEw,"Greek, Restaurants, Cafes, Mediterranean",Mediterranean,Athens Pita & Greek Grill
0LhYg3iOF9IU2Ut8IL84TQ,"American (New), Nightlife, Bars, Cocktail Bars, Restaurants, Lounges",American,MATCH Restaurant & Lounge
0LmDg_Y6Ht3zFqtvmLhp6g,"Nightlife, Pubs, British, Bars, Restaurants",British,Cornish Pasty
0Mp_0j2dfMXE6l-3Raqorg,"Tex-Mex, Fast Food, Restaurants, Mexican",Mexican,Taco Bell
0N2y8rNxbet6p4UIBWTOrw,"Greek, Mediterranean, Restaurants, Salad",Mediterranean,King Gyros
0NgePUfXd2TG0kWgsQRq0A,"Vegan, Buffets, Asian Fusion, Chinese, Gluten-Free, Restaurants, Mongolian",Chinese,YC's Mongolian Grill
0NhylBPrcpXUXZmqZL4T7w,"Coffee & Tea, Food, Restaurants, Donuts, Sandwiches",Sandwiches,Dunkin' Donuts
0nki-StQkYNVHi5EQl-Ayw,"Mexican, Food, Restaurants",Mexican,Taqueria Y Cenaduria Culiacan
0o_JtYrz5FRVMcAEVmf42w,"Japanese, Korean, Restaurants",Japanese,Grilled Ave Teriyaki House
0obhg2Jv22z6Mkvl3zGaiQ,"Salad, Burgers, Restaurants, Mediterranean, Greek",Mediterranean,Nino's Greek Cafe
0oOTrzxhO3FxHqmeZuC3mw,"Pakistani, Indian, Halal, Food, Bakeries, Restaurants",Indian,Pastries N Chaat
0oZJ19F7KebXTu8auQvZrA,"Italian, Sandwiches, Pizza, Restaurants, Chicken Wings",Sandwiches,Domino's Pizza
0PMKMyfX1j7Nc4esk1RaMg,"Restaurants, Pizza, Italian",Italian,Humble Pie
0pMsVlUu_MbFqmvbA8F79Q,"Salad, Sandwiches, Vegetarian, Restaurants, American (Traditional)",Sandwiches,Cheba Hut Toasted Subs
0rjU_WK5HxoH1fIuEpTpcg,"Pizza, Sandwiches, Restaurants, Food, Chicken Wings",Sandwiches,Zesty Zzeeks Pizza and Wings
0Ryxx6uSpt4TOKYVGBekLQ,"Steakhouses, American (Traditional), Nightlife, Restaurants, Bars, Sports Bars",Sports Bar,Black Angus Steakhouse
0TBTV3q6QXCn9vNhy3Xi2w,"Food, Beer, Wine & Spirits, Gluten-Free, Vegan, Ethiopian, African, Restaurants, Vegetarian",Vegan,CafÃƒÂ© Lalibela
0V18KwdtfsdrIu9xyO4GLg,"Beverage Store, Seafood, Food, Thai, Restaurants, Desserts",Thai,Thai Delight
0xfVubbU3z8O2NcuEYSQNg,"Nightlife, Japanese, Gluten-Free, Restaurants, Bars, Sushi Bars",Japanese,Sushi 101 Bar and Grill
0yHY4FHCTOIshPiPc9EYBQ,"Restaurants, Burgers",Fast Food,Smashburger
0zr7FB0nnZXJmwb94yTbJQ,"Sandwiches, Cafes, Breakfast & Brunch, Restaurants, Burgers, Food",Cafes,Cafe 1010
1-L3RfFTq4tA0kl73K1l0g,"Vegetarian, Gluten-Free, Restaurants, Food, Salad, Wraps, Juice Bars & Smoothies",Juice Bars,MAD Greens - Central Ave & Camelback
10ELp0f3kgGfXPQNQq77ew,"Restaurants, Mexican",Mexican,Tacos Toro Negro
10Ft6GZPvoZyRWi1bVo3Rw,"Food, Fast Food, Sandwiches, Restaurants",Sandwiches,Subway
14gcM85Uwf7_alLqDcOGOA,"Nightlife, Music Venues, Restaurants, American (Traditional), Bars, Sports Bars, Arts & Entertainment",Sports Bar,The Bench Local Eats & Beats
15yP8OOhUcESzYbLcm6s3g,"Caribbean, Latin American, Mexican, Breakfast & Brunch, Restaurants",Mexican,Tamales Guadalajara
16fgi4_LNRlPGcpL1ObNww,"Food, Event Planning & Services, Barbeque, Caterers, Restaurants, Food Trucks, Street Vendors",Barbeque,Q Up Barbeque
16xoDNtEWbth_s--xqZxrQ,"Food Delivery Services, Food, Halal, Restaurants, Indian",Indian,Amaravati Indian Cuisine
17K0u4eyrm5rZBo5FybQtA,"American (Traditional), Restaurants",American,Azool Grill
19f_Hyq38r6ycACRw-JG6w,"Breakfast & Brunch, Restaurants, Mexican, Buffets",Mexican,Lydia's La Canasta Mexican Food
19LQmaLOi22V5RrI3eB5lA,"Restaurants, Vietnamese",Vietnamese,Pho Binh Minh
19RFEJnuHCo03LsHzKiJcg,"Custom Cakes, Bakeries, Delis, Food, Restaurants",Deli,Bakery By Chef Tom
1b8d2CqGcfF3Hz0vixQSUQ,"Food, Food Trucks, Mexican, Restaurants, Street Vendors",Mexican,Taqueria Tepehuaje
1BzP4ECa0WRDbeVTn321vA,"Bakeries, Juice Bars & Smoothies, Cupcakes, Custom Cakes, Ice Cream & Frozen Yogurt, Restaurants, Food",Juice Bars,Cold Stone Creamery
1CL8v1mIwpGh-FW0U6BH8Q,"Food, Fast Food, Restaurants, Coffee & Tea, Burgers",Burgers,McDonald's
1CqDdPrrb0xvQpgu7fhI5w,"Gluten-Free, Asian Fusion, Restaurants, Chinese",Chinese,P.F. Chang's
1DdkhCSmKDgFmilXS9SZEA,"Seafood, Mexican, Restaurants",Mexican,El Pacifico Restaurante Y Pescaderia
1Dfx3zM-rW4n-31KeC8sJg,"Restaurants, Breakfast & Brunch, Mexican, Tacos, Tex-Mex, Fast Food",Mexican,Taco Bell
1DswS8btQKkWFyTUZlcgCQ,"Tex-Mex, Restaurants, Mexican, Fast Food",Mexican,Taco Bell
1dX0u7zsjizDvatHEutHdQ,"Burgers, Restaurants",Burgers,Lenny's Burger
1E1Qp9HWSZmqruir3sTeKw,"Food, Mediterranean, Restaurants, Greek",Mediterranean,The Greek Pita
1F4T9e6bRFwL11wnNxW4Ng,"Fast Food, Chinese, Restaurants",Chinese,Panda Express
1F6imE4hNPEEcsb9VHRUoA,"American (Traditional), Food, Breweries, Pizza, Restaurants, Salad",American,Old Chicago
1fhYyEILdhKz_WVfjnijVw,"Pizza, Restaurants, Chicken Wings, Sandwiches",Sandwiches,Domino's Pizza
1GoI8TV5ngDEqoTmDK6Iow,"Restaurants, Latin American, Nightlife, Tacos, Cocktail Bars, Tex-Mex, Mexican, Bars",Mexican,Ajo Al's Mexican Cafe
1GWJWh9WGytmkXKdkXx6Hw,"Restaurants, Fast Food, Sandwiches",Sandwiches,Subway
1JF9TbJ2d5hH8xsQvvklHg,"Breakfast & Brunch, Burgers, American (New), Mexican, Restaurants",Mexican,Irma's Kitchen
1JmSxEQZQn1AitoNHxvHBQ,"Ice Cream & Frozen Yogurt, Fast Food, Food, Restaurants",Fast Food,Dairy Queen
1JpfQCgLnmz6VU00O1XIPw,"Bagels, Coffee & Tea, Restaurants, Bakeries, Food",Coffee N Tea,Hava Java
1kDS1homhHy0gr5N95oGzw,"Restaurants, Chicken Wings, Burgers, Bars, Sports Bars, Nightlife",Sports Bar,The Purple Turtle
1ku0t5u7dCAE0g-pZDQdAw,"Restaurants, Fast Food, Burgers",Burgers,In-N-Out Burger
