neighborhoods,cat,categories,review_count,name,city,checkin-info,longitude,latitude,state,business_id,stars
[],Sandwiches,"Sandwiches, Restaurants, Chicken Wings, Pizza",47,Domino's Pizza,Tempe,"{""23-6"": 1, ""19-2"": 1, ""6-1"": 3, ""5-2"": 2, ""2-2"": 2, ""5-5"": 3, ""4-0"": 1, ""2-0"": 2, ""6-2"": 2, ""9-5"": 1, ""16-2"": 1, ""21-5"": 1, ""18-5"": 1, ""20-6"": 1, ""3-2"": 1, ""1-4"": 1, ""17-5"": 1, ""2-1"": 1, ""20-1"": 1, ""5-0"": 1, ""19-0"": 1, ""7-1"": 1, ""3-0"": 1, ""8-5"": 1, ""2-6"": 1, ""9-1"": 1, ""5-4"": 3, ""8-0"": 1, ""19-1"": 1, ""3-5"": 1, ""6-5"": 1, ""22-6"": 1, ""8-3"": 1}",-111.928995,33.41434601,AZ,-0Sgh0QlUKVsWosCWJzGqQ,2
[],Irish,"Irish Pub, Pubs, Nightlife, Irish, Bars, Music Venues, Restaurants, Arts & Entertainment",130,Dubliner,Phoenix,"{""7-4"": 3, ""4-5"": 32, ""3-6"": 24, ""2-3"": 5, ""5-5"": 26, ""2-5"": 26, ""1-6"": 14, ""19-5"": 8, ""3-5"": 28, ""2-6"": 13, ""7-6"": 13, ""1-4"": 17, ""4-6"": 27, ""1-5"": 24, ""6-6"": 16, ""0-5"": 20, ""6-1"": 4, ""17-5"": 2, ""21-5"": 13, ""5-2"": 14, ""7-1"": 3, ""23-5"": 10, ""4-2"": 6, ""21-4"": 2, ""6-5"": 16, ""13-4"": 2, ""8-1"": 3, ""6-4"": 8, ""5-6"": 23, ""1-1"": 15, ""5-0"": 6, ""1-3"": 9, ""8-0"": 4, ""16-1"": 3, ""3-2"": 5, ""8-5"": 6, ""19-4"": 3, ""20-3"": 1, ""0-4"": 12, ""5-4"": 13, ""4-4"": 21, ""4-0"": 13, ""2-1"": 9, ""5-3"": 5, ""8-6"": 1, ""23-1"": 5, ""5-1"": 6, ""4-3"": 8, ""7-0"": 3, ""22-4"": 7, ""18-5"": 5, ""21-6"": 10, ""2-2"": 4, ""7-2"": 2, ""18-0"": 2, ""8-4"": 3, ""6-3"": 2, ""0-3"": 4, ""7-5"": 5, ""18-6"": 5, ""3-0"": 5, ""1-2"": 11, ""1-0"": 5, ""2-4"": 9, ""3-3"": 6, ""9-6"": 2, ""6-0"": 2, ""0-2"": 5, ""3-4"": 9, ""0-1"": 5, ""22-3"": 17, ""3-1"": 10, ""22-2"": 2, ""0-0"": 8, ""4-1"": 4, ""22-5"": 8, ""0-6"": 11, ""19-6"": 10, ""20-6"": 4, ""19-3"": 4, ""8-3"": 1, ""23-4"": 9, ""23-6"": 5, ""7-3"": 2, ""2-0"": 6, ""23-2"": 6, ""17-0"": 1, ""21-0"": 3, ""20-4"": 5, ""23-3"": 12, ""19-2"": 1, ""19-0"": 2, ""6-2"": 2, ""20-5"": 4, ""20-1"": 4, ""19-1"": 2, ""8-2"": 1, ""9-5"": 1, ""21-2"": 1, ""18-1"": 1, ""22-6"": 2, ""21-3"": 2}",-111.9985128,33.61112821,AZ,-0tgMGl7D9B10YjSN2ujLA,3.5
[],Sandwiches,"Nightlife, Sandwiches, Bars, Cocktail Bars, Restaurants, Food, Breakfast & Brunch",412,Matt's Big Breakfast,Phoenix,"{""4-4"": 7, ""5-5"": 2, ""22-6"": 11, ""15-3"": 21, ""14-6"": 16, ""16-6"": 26, ""4-3"": 7, ""0-5"": 5, ""19-6"": 11, ""0-4"": 12, ""15-5"": 18, ""15-2"": 16, ""16-3"": 16, ""18-6"": 12, ""21-6"": 5, ""15-1"": 17, ""14-2"": 19, ""14-3"": 11, ""14-0"": 14, ""21-0"": 9, ""13-0"": 11, ""13-6"": 7, ""4-0"": 2, ""3-5"": 4, ""20-0"": 12, ""18-1"": 5, ""22-5"": 2, ""18-0"": 14, ""18-4"": 10, ""20-4"": 8, ""17-0"": 12, ""15-4"": 14, ""20-3"": 8, ""18-3"": 7, ""16-2"": 11, ""12-0"": 6, ""1-1"": 9, ""22-1"": 3, ""13-3"": 12, ""13-4"": 15, ""15-6"": 12, ""17-6"": 13, ""15-0"": 14, ""2-1"": 5, ""13-5"": 12, ""21-4"": 9, ""14-5"": 8, ""0-3"": 3, ""16-0"": 13, ""16-4"": 15, ""17-4"": 13, ""23-5"": 3, ""13-2"": 6, ""23-1"": 5, ""12-3"": 2, ""1-2"": 1, ""2-0"": 6, ""13-1"": 13, ""5-4"": 3, ""14-1"": 13, ""20-1"": 5, ""2-4"": 5, ""16-5"": 16, ""16-1"": 14, ""17-2"": 7, ""18-2"": 9, ""3-2"": 5, ""19-3"": 9, ""17-1"": 8, ""0-0"": 2, ""1-3"": 2, ""1-5"": 6, ""21-1"": 6, ""17-3"": 10, ""19-4"": 9, ""17-5"": 6, ""2-2"": 5, ""18-5"": 6, ""23-4"": 9, ""12-6"": 1, ""1-6"": 2, ""23-3"": 6, ""20-6"": 5, ""4-1"": 2, ""21-3"": 8, ""19-2"": 10, ""20-5"": 4, ""19-1"": 5, ""19-5"": 8, ""1-4"": 7, ""22-3"": 6, ""19-0"": 5, ""21-2"": 3, ""22-0"": 3, ""0-2"": 4, ""4-5"": 4, ""20-2"": 5, ""6-5"": 1, ""14-4"": 15, ""22-4"": 3, ""22-2"": 2, ""3-4"": 4, ""2-6"": 3, ""2-3"": 2, ""21-5"": 4, ""5-0"": 1, ""3-3"": 4, ""0-6"": 3, ""1-0"": 4, ""23-2"": 2, ""11-1"": 1, ""11-6"": 1, ""5-3"": 1, ""2-5"": 3, ""3-0"": 2, ""3-1"": 1, ""23-0"": 1, ""6-4"": 1, ""23-6"": 4, ""12-2"": 1, ""12-1"": 1, ""0-1"": 1, ""3-6"": 2}",-111.9966364,33.43693399,AZ,-1UMR00eXtwaeh59pEiDjA,3.5
[],Mexican,"Tex-Mex, Mexican, Fast Food, Restaurants",24,Taco Bell,Phoenix,"{""21-2"": 1, ""23-6"": 4, ""16-2"": 1, ""21-1"": 1, ""3-5"": 2, ""4-5"": 3, ""4-1"": 1, ""23-5"": 2, ""18-3"": 3, ""0-3"": 3, ""1-3"": 3, ""18-1"": 4, ""2-1"": 2, ""19-2"": 3, ""9-6"": 1, ""2-5"": 2, ""4-0"": 2, ""7-2"": 1, ""2-6"": 1, ""4-2"": 2, ""3-0"": 3, ""18-4"": 2, ""21-0"": 1, ""3-1"": 2, ""20-2"": 1, ""20-6"": 1, ""21-5"": 1, ""21-4"": 1, ""19-3"": 1, ""21-3"": 1, ""8-0"": 1, ""7-6"": 1, ""15-1"": 1, ""18-0"": 2, ""4-3"": 1, ""17-4"": 2, ""16-0"": 1, ""18-2"": 1, ""16-4"": 1, ""3-3"": 1, ""16-3"": 1, ""20-5"": 1, ""0-4"": 1, ""22-3"": 1, ""7-3"": 1, ""7-0"": 1, ""17-2"": 1}",-112.1359008,33.58171309,AZ,-2isRNVb6PDuBagELL5EBw,3
[],Sandwiches,"Fast Food, Restaurants, Sandwiches",16,Subway,Glendale,"{""20-4"": 1, ""1-2"": 1, ""0-3"": 1, ""0-1"": 1, ""17-5"": 1, ""19-5"": 1, ""23-0"": 1, ""21-4"": 1, ""22-1"": 1}",-112.166708,33.596883,AZ,-34vSRcMz_RjN00dWIiQ3Q,2.5
[],Mexican,"Restaurants, Mexican, Bars, American (New), Nightlife, Sandwiches, Breakfast & Brunch",90,Roland's Cafe Market Bar,Phoenix,"{""22-1"": 2, ""18-2"": 3, ""19-2"": 2, ""20-2"": 3, ""23-2"": 1, ""14-3"": 1, ""14-5"": 1, ""16-5"": 2, ""20-0"": 1, ""21-0"": 2, ""19-5"": 6, ""21-5"": 2, ""18-3"": 3, ""4-5"": 2, ""17-5"": 6, ""0-6"": 5, ""3-6"": 3, ""17-6"": 3, ""18-6"": 3, ""18-1"": 1, ""2-3"": 2, ""17-3"": 2, ""4-4"": 1, ""17-4"": 4, ""19-4"": 3, ""18-4"": 1, ""1-5"": 1, ""18-0"": 1, ""23-0"": 2, ""2-1"": 4, ""23-5"": 1, ""14-6"": 1, ""1-6"": 1, ""20-6"": 5, ""1-2"": 2, ""2-4"": 1, ""2-5"": 3, ""16-6"": 4, ""0-1"": 2, ""18-5"": 2, ""19-6"": 2, ""4-2"": 1, ""15-0"": 1, ""0-5"": 3, ""21-3"": 3, ""3-4"": 1, ""3-5"": 1, ""6-4"": 1, ""1-1"": 1, ""2-6"": 2, ""2-2"": 1, ""22-3"": 1, ""1-4"": 3, ""19-0"": 2, ""20-5"": 1, ""21-6"": 1, ""19-3"": 1, ""4-6"": 2, ""19-1"": 1, ""5-6"": 1, ""15-6"": 1}",-112.0495208,33.451067,AZ,-45kMvS7h38CGaWugPY0rg,4
[],Sandwiches,"Food Delivery Services, Fast Food, Food, Delis, Restaurants, Sandwiches",42,Jimmy John's,Tempe,"{""4-5"": 2, ""18-0"": 4, ""20-4"": 3, ""21-5"": 5, ""5-1"": 1, ""20-2"": 2, ""20-5"": 2, ""22-5"": 2, ""19-6"": 2, ""3-1"": 2, ""22-2"": 3, ""19-4"": 3, ""19-0"": 4, ""23-0"": 1, ""2-5"": 2, ""17-6"": 3, ""17-2"": 2, ""20-0"": 4, ""22-4"": 2, ""19-3"": 8, ""18-4"": 2, ""2-4"": 2, ""4-6"": 1, ""19-5"": 6, ""3-3"": 2, ""1-5"": 3, ""22-6"": 1, ""0-5"": 1, ""22-3"": 2, ""20-1"": 5, ""3-5"": 3, ""3-6"": 1, ""0-3"": 1, ""18-3"": 2, ""20-6"": 3, ""0-0"": 2, ""23-2"": 1, ""2-0"": 1, ""22-1"": 1, ""1-6"": 2, ""19-2"": 4, ""0-1"": 1, ""1-4"": 1, ""2-2"": 1, ""15-5"": 1, ""5-5"": 1, ""21-2"": 3, ""23-3"": 1, ""0-6"": 2, ""23-5"": 1, ""2-3"": 3, ""1-3"": 2, ""21-3"": 1, ""18-2"": 2, ""5-6"": 2, ""4-1"": 1, ""18-6"": 3, ""21-1"": 1, ""4-0"": 2, ""0-2"": 2, ""3-0"": 1, ""2-6"": 1, ""19-1"": 1, ""17-0"": 1, ""20-3"": 1, ""4-2"": 1, ""17-1"": 1, ""2-1"": 1}",-111.9266151,33.39332209,AZ,-4g68Hwm892_KPUuW5g1_Q,2.5
[],Indian,"Restaurants, Buffets, Vegan, Indian",480,Nandini Indian Cuisine,Tempe,"{""1-3"": 10, ""21-2"": 4, ""3-5"": 7, ""20-5"": 13, ""21-0"": 4, ""3-1"": 5, ""19-4"": 9, ""3-3"": 8, ""4-3"": 2, ""19-2"": 9, ""0-6"": 8, ""19-3"": 9, ""18-6"": 8, ""20-4"": 13, ""21-5"": 6, ""1-0"": 18, ""0-3"": 7, ""18-3"": 4, ""20-6"": 9, ""2-5"": 13, ""3-6"": 9, ""19-1"": 8, ""2-6"": 14, ""21-6"": 13, ""1-1"": 7, ""20-1"": 7, ""3-2"": 8, ""3-4"": 9, ""18-1"": 7, ""0-5"": 7, ""18-5"": 8, ""19-6"": 12, ""2-1"": 10, ""4-1"": 3, ""1-4"": 10, ""19-5"": 8, ""20-0"": 6, ""0-0"": 10, ""18-0"": 11, ""4-5"": 4, ""4-0"": 4, ""4-4"": 2, ""20-2"": 5, ""19-0"": 6, ""18-2"": 4, ""2-0"": 5, ""2-3"": 14, ""1-5"": 13, ""2-2"": 7, ""1-2"": 9, ""4-2"": 2, ""21-3"": 3, ""1-6"": 14, ""0-2"": 3, ""0-1"": 7, ""20-3"": 7, ""5-6"": 1, ""3-0"": 3, ""2-4"": 10, ""23-4"": 1, ""17-5"": 2, ""4-6"": 3, ""21-4"": 1, ""18-4"": 6, ""17-6"": 1, ""17-0"": 1, ""23-2"": 1, ""0-4"": 1, ""5-2"": 1, ""6-5"": 2}",-111.9076282,33.4066242,AZ,-8QlV3b_9H4BAh6LgMIr1g,4
[],Cafes,"Cafes, Restaurants, Fondue, American (New), American (Traditional)",316,The Melting Pot-Phoenix,Phoenix,"{""1-2"": 21, ""4-5"": 17, ""2-1"": 14, ""4-3"": 7, ""6-5"": 1, ""3-3"": 11, ""4-1"": 7, ""1-5"": 46, ""22-6"": 9, ""0-5"": 25, ""1-0"": 19, ""3-5"": 28, ""1-6"": 40, ""2-6"": 36, ""3-6"": 38, ""4-2"": 5, ""4-4"": 7, ""3-2"": 13, ""0-3"": 8, ""14-4"": 1, ""21-6"": 4, ""4-0"": 6, ""2-5"": 36, ""2-0"": 21, ""5-5"": 6, ""3-1"": 15, ""2-3"": 15, ""1-3"": 19, ""0-0"": 31, ""1-1"": 21, ""0-6"": 17, ""4-6"": 14, ""3-0"": 13, ""0-1"": 16, ""6-6"": 5, ""2-2"": 24, ""2-4"": 22, ""1-4"": 22, ""0-2"": 9, ""5-2"": 2, ""5-0"": 2, ""23-0"": 6, ""23-6"": 9, ""0-4"": 17, ""23-5"": 16, ""22-1"": 1, ""5-6"": 9, ""22-5"": 6, ""3-4"": 11, ""23-4"": 12, ""16-1"": 1, ""20-2"": 1, ""23-1"": 3, ""20-6"": 3, ""18-5"": 1, ""21-5"": 1, ""19-6"": 3, ""22-3"": 1, ""17-6"": 1, ""18-6"": 2, ""7-5"": 2, ""23-3"": 5, ""17-1"": 1, ""23-2"": 2, ""16-3"": 1, ""22-4"": 2, ""5-1"": 1, ""8-4"": 1, ""9-6"": 1, ""15-5"": 1, ""21-4"": 1, ""20-0"": 1, ""19-4"": 1, ""5-3"": 2, ""18-3"": 1, ""21-2"": 2, ""20-5"": 1, ""20-4"": 2, ""20-1"": 1, ""20-3"": 1, ""19-2"": 1, ""5-4"": 1}",-112.004239,33.316214,AZ,-9eNGMp8XiygI8t8QFuFWw,4
[],American,"Tea Rooms, Breakfast & Brunch, American (Traditional), Cocktail Bars, Nightlife, Restaurants, Food, American (New), Bars",614,Tuck Shop,Phoenix,"{""2-3"": 60, ""3-6"": 84, ""1-5"": 73, ""2-2"": 59, ""0-4"": 15, ""2-4"": 49, ""3-5"": 75, ""2-5"": 73, ""1-6"": 59, ""3-2"": 35, ""1-2"": 53, ""0-2"": 18, ""3-3"": 53, ""4-3"": 20, ""1-4"": 47, ""22-0"": 2, ""4-5"": 49, ""20-5"": 2, ""0-6"": 35, ""1-3"": 46, ""2-6"": 82, ""5-6"": 12, ""3-4"": 40, ""4-4"": 31, ""0-5"": 23, ""6-6"": 1, ""0-3"": 13, ""5-4"": 7, ""4-6"": 60, ""2-1"": 3, ""20-2"": 1, ""3-1"": 1, ""4-2"": 22, ""5-5"": 5, ""12-3"": 2, ""19-6"": 3, ""18-0"": 1, ""12-2"": 1, ""11-3"": 1, ""0-1"": 1, ""7-1"": 1, ""12-1"": 1, ""11-2"": 1, ""17-2"": 1, ""5-3"": 5, ""23-3"": 2, ""22-4"": 1, ""6-5"": 3, ""15-5"": 2, ""21-5"": 3, ""14-3"": 1, ""23-4"": 4, ""13-5"": 2, ""13-4"": 1, ""17-6"": 5, ""19-2"": 2, ""17-4"": 3, ""9-2"": 1, ""15-6"": 1, ""11-4"": 1, ""12-4"": 1, ""7-5"": 1, ""17-5"": 5, ""6-0"": 1, ""4-1"": 1, ""6-2"": 1, ""14-5"": 1, ""16-6"": 4, ""18-5"": 4, ""21-6"": 3, ""19-4"": 1, ""23-5"": 3, ""20-4"": 2, ""16-0"": 1, ""21-2"": 1, ""16-4"": 1, ""6-4"": 1, ""6-3"": 1, ""20-3"": 1, ""22-3"": 2, ""5-2"": 1, ""4-0"": 1, ""8-3"": 1, ""23-0"": 1, ""23-1"": 1, ""18-3"": 1, ""1-0"": 1, ""18-6"": 6, ""7-6"": 1, ""20-6"": 2, ""22-5"": 1, ""16-5"": 1, ""19-5"": 4}",-112.056137,33.4728423,AZ,-Bdw-5H5C4AYSMGnAvmnzw,4.5
[],Cafes,"Music Venues, Nightlife, Vegan, Breakfast & Brunch, Sandwiches, Cafes, Food, Arts & Entertainment, Restaurants, Bars, Vegetarian, Local Flavor, Lounges, Jazz & Blues, Beer, Wine & Spirits, American (New), Desserts",394,Carly's Bistro,Phoenix,"{""4-5"": 51, ""3-5"": 36, ""3-2"": 17, ""20-4"": 11, ""7-5"": 22, ""4-0"": 20, ""1-4"": 13, ""4-4"": 16, ""2-0"": 23, ""6-5"": 26, ""0-1"": 9, ""2-3"": 13, ""3-6"": 40, ""5-3"": 6, ""4-6"": 40, ""18-6"": 30, ""1-0"": 18, ""21-4"": 7, ""22-0"": 8, ""1-5"": 34, ""2-6"": 35, ""2-5"": 30, ""20-6"": 28, ""5-0"": 18, ""0-5"": 12, ""18-5"": 27, ""1-3"": 21, ""5-5"": 38, ""21-2"": 9, ""19-3"": 23, ""4-2"": 11, ""3-3"": 21, ""2-1"": 11, ""1-2"": 26, ""6-3"": 12, ""5-6"": 37, ""7-6"": 18, ""0-0"": 23, ""3-4"": 23, ""5-4"": 13, ""20-2"": 11, ""3-0"": 16, ""4-3"": 23, ""21-0"": 5, ""21-3"": 8, ""7-4"": 9, ""23-5"": 13, ""22-2"": 6, ""8-5"": 11, ""8-6"": 7, ""18-0"": 8, ""19-0"": 11, ""0-4"": 8, ""0-6"": 14, ""4-1"": 9, ""22-1"": 7, ""6-2"": 7, ""23-0"": 10, ""2-2"": 18, ""19-5"": 22, ""19-2"": 13, ""18-3"": 9, ""20-5"": 28, ""19-4"": 16, ""5-1"": 9, ""23-2"": 5, ""1-1"": 8, ""6-1"": 6, ""22-4"": 6, ""20-0"": 10, ""21-1"": 2, ""0-3"": 6, ""1-6"": 24, ""21-5"": 17, ""22-3"": 2, ""18-2"": 7, ""2-4"": 16, ""19-6"": 16, ""0-2"": 11, ""22-6"": 28, ""23-1"": 12, ""3-1"": 14, ""19-1"": 14, ""22-5"": 17, ""17-6"": 11, ""18-1"": 8, ""17-5"": 11, ""6-0"": 11, ""23-6"": 20, ""23-3"": 5, ""20-1"": 7, ""6-6"": 25, ""21-6"": 22, ""7-1"": 2, ""5-2"": 6, ""6-4"": 7, ""18-4"": 8, ""20-3"": 4, ""8-4"": 5, ""23-4"": 6, ""16-5"": 1, ""17-0"": 1, ""8-1"": 1, ""15-6"": 2, ""7-0"": 1, ""7-3"": 1}",-112.0715434,33.4588267,AZ,-BxWyEIQ6wypT-37MzZizQ,4
[],American,"American (Traditional), Bars, Restaurants, Nightlife",227,Fat Tuesday,Tempe,"{""6-5"": 61, ""2-3"": 16, ""5-4"": 26, ""1-6"": 30, ""7-2"": 9, ""5-3"": 24, ""4-6"": 52, ""3-3"": 17, ""7-6"": 55, ""20-2"": 4, ""3-0"": 11, ""2-0"": 10, ""21-5"": 26, ""4-5"": 37, ""19-3"": 1, ""19-5"": 9, ""0-6"": 28, ""5-6"": 61, ""22-6"": 13, ""6-3"": 16, ""5-5"": 64, ""6-6"": 74, ""6-4"": 22, ""1-2"": 21, ""7-5"": 46, ""3-6"": 37, ""18-1"": 2, ""22-2"": 5, ""20-3"": 6, ""21-3"": 6, ""8-4"": 9, ""19-1"": 3, ""16-6"": 2, ""2-5"": 23, ""6-2"": 19, ""23-2"": 6, ""2-4"": 18, ""8-5"": 29, ""4-2"": 12, ""2-2"": 25, ""7-4"": 14, ""18-6"": 2, ""8-6"": 12, ""5-2"": 11, ""21-6"": 28, ""1-5"": 17, ""22-5"": 43, ""23-4"": 15, ""23-6"": 13, ""3-2"": 13, ""23-5"": 32, ""7-0"": 3, ""5-1"": 6, ""4-3"": 11, ""4-4"": 11, ""2-6"": 18, ""3-5"": 28, ""23-1"": 6, ""20-6"": 19, ""22-3"": 4, ""0-2"": 11, ""0-0"": 25, ""18-4"": 2, ""5-0"": 9, ""20-1"": 3, ""8-2"": 5, ""0-1"": 5, ""19-4"": 7, ""3-1"": 8, ""1-4"": 10, ""16-5"": 2, ""2-1"": 12, ""4-0"": 14, ""7-3"": 11, ""23-0"": 4, ""21-2"": 4, ""18-3"": 1, ""0-4"": 6, ""19-0"": 4, ""17-5"": 1, ""4-1"": 9, ""22-1"": 8, ""1-3"": 6, ""3-4"": 15, ""19-6"": 6, ""1-0"": 19, ""23-3"": 7, ""8-0"": 4, ""20-0"": 4, ""0-5"": 11, ""20-5"": 10, ""21-0"": 4, ""21-4"": 8, ""22-4"": 11, ""8-3"": 6, ""22-0"": 10, ""6-0"": 4, ""17-6"": 1, ""0-3"": 4, ""18-5"": 4, ""6-1"": 3, ""7-1"": 1, ""1-1"": 6, ""9-6"": 1, ""21-1"": 3, ""9-5"": 1, ""20-4"": 5, ""18-0"": 1, ""8-1"": 2, ""13-4"": 1}",-111.9402251,33.42381241,AZ,-cBQKodqi77Q0vk-9iDvQA,3.5
