dish,count
Sandwiches,418
Irish,5
Mexican,512
Indian,39
Cafes,143
American,426
Burgers,180
Coffee N Tea,50
Chinese,171
Italian,232
Juice Bars,19
Mediterranean,99
Sports Bar,127
Fast Food,70
Japanese,92
Breakfast N Brunch,43
Vegan,23
Bar,2
British,6
Thai,37
Barbeque,31
Vietnamese,31
Deli,8
Diner,2
Steakhouses,7
Middle Eastern,5
Greek,9
Seafood,47
 Frozen Yogurt,5
Bakery,8
Kosher,2
Hawaiian,10
Korean,3
Buffet,2
Ethiopian,2
Czech,1
Southern,5
European,3
Fish N Chips,2
Donuts,2
Asian Fusion,5
Vegetarian,5
Cambodian,1
Caribbean,3
Peruvian,1
Filipino,2
Food Truck,1
Brewery,2
Tea Room,1
French,2
Lounge,1
